Gene ID (RS),Gene ID (LPD),Annotation
PD630_RS00005,"Pd630_LPD00001	",chromosomal replication initiator protein DnaA
PD630_RS07755,"Pd630_LPD01622	",non-ribosomal peptide synthetase
PD630_RS07760,"Pd630_LPD01623	",3'-5' exonuclease
PD630_RS07765,"Pd630_LPD01625	",transporter
PD630_RS07770,"Pd630_LPD01626	",hypothetical protein
PD630_RS07775,"Pd630_LPD01627	",ATP-dependent DNA ligase
PD630_RS07780,"Pd630_LPD01628	",ATP-dependent DNA ligase
PD630_RS07785,"Pd630_LPD01629	",hypothetical protein
PD630_RS07790,"Pd630_LPD01630	",esterase
PD630_RS07795,"Pd630_LPD01631	",hypothetical protein
PD630_RS07800,"Pd630_LPD01632	",ferredoxin
PD630_RS07805,"Pd630_LPD01633	",hypothetical protein
PD630_RS07810,"Pd630_LPD01634	",glycerol-3-phosphate ABC transporter permease
PD630_RS07815,"Pd630_LPD01635	",glycerol-3-phosphate ABC transporter permease
PD630_RS07820,"Pd630_LPD01636	",ABC transporter substrate-binding protein
PD630_RS07825,"Pd630_LPD01637	",sugar ABC transporter ATP-binding protein
PD630_RS07830,"Pd630_LPD01638	",peptidase M13
PD630_RS07835,"Pd630_LPD01639	",hypothetical protein
PD630_RS07840,"Pd630_LPD01640	",quercetin 2%2C3-dioxygenase
PD630_RS07845,none,hypothetical protein
PD630_RS07850,"Pd630_LPD01642	",MaoC family dehydratase
PD630_RS07855,"Pd630_LPD01643	",4-hydroxyphenyl-beta-ketoacyl-CoA hydrolase
PD630_RS07860,"Pd630_LPD01644	",dehydrogenase
PD630_RS07865,"Pd630_LPD01645	",MarR family transcriptional regulator
PD630_RS07870,"Pd630_LPD01646	",hypothetical protein
PD630_RS07875,"Pd630_LPD01647	",LysR family transcriptional regulator
PD630_RS07880,"Pd630_LPD01648	",MFS transporter
PD630_RS07885,"Pd630_LPD01649	",esterase
PD630_RS07890,"Pd630_LPD01650	",thiamine biosynthesis protein ThiJ
PD630_RS07895,"Pd630_LPD01651	",AMP-dependent synthetase
PD630_RS07900,"Pd630_LPD01652	",MFS transporter
PD630_RS07905,"Pd630_LPD01653	",acyl-CoA dehydrogenase
PD630_RS07910,"Pd630_LPD01655	",hypothetical protein
PD630_RS07915,"Pd630_LPD01656	",hypothetical protein
PD630_RS07920,"Pd630_LPD01657	",LysR family transcriptional regulator
PD630_RS07925,"Pd630_LPD01658	",MFS transporter
PD630_RS07930,"Pd630_LPD01659	",lipase
PD630_RS07935,"Pd630_LPD01660	",alpha/beta hydrolase
PD630_RS07940,"Pd630_LPD01661	",alpha/beta hydrolase
PD630_RS07945,"Pd630_LPD01662	",phosphoribosylanthranilate isomerase
PD630_RS07950,"Pd630_LPD01663	",esterase
PD630_RS07955,"Pd630_LPD01664	",amino acid ABC transporter substrate-binding protein
PD630_RS07960,"Pd630_LPD01665	",acyl-CoA dehydrogenase
PD630_RS07965,"Pd630_LPD01666	",glyoxalase
PD630_RS07970,"Pd630_LPD01667	",hydrolase
PD630_RS07975,"Pd630_LPD01668	",aldo/keto reductase
PD630_RS07980,none,MerR family transcriptional regulator
PD630_RS07985,"Pd630_LPD01670	",cytosine permease
PD630_RS07990,"Pd630_LPD01671	",PucR family transcriptional regulator
PD630_RS07995,"Pd630_LPD01672	",tRNA-specific adenosine deaminase
PD630_RS08000,"Pd630_LPD01673	",oxidoreductase
PD630_RS08005,"Pd630_LPD01674	",ABC transporter
PD630_RS08010,"Pd630_LPD01675	",hypothetical protein
PD630_RS08015,"Pd630_LPD01676	",penicillin-binding protein
PD630_RS08020,"Pd630_LPD01677	",penicillin-binding protein
PD630_RS08025,"Pd630_LPD01678	",transporter
PD630_RS08030,"Pd630_LPD01679	",MFS transporter
PD630_RS08035,"Pd630_LPD01680	",membrane protein
PD630_RS08040,"Pd630_LPD01681	",TetR family transcriptional regulator
PD630_RS08045,"Pd630_LPD01682	",TIGR00374 family protein
PD630_RS08050,"Pd630_LPD01683	",hypothetical protein
PD630_RS08055,"Pd630_LPD01684	",TetR family transcriptional regulator
PD630_RS08060,"Pd630_LPD01685	",alpha/beta hydrolase
PD630_RS08065,"Pd630_LPD01686	",2-isopropylmalate synthase
PD630_RS08070,"Pd630_LPD01687	",GntR family transcriptional regulator
PD630_RS08075,"Pd630_LPD01688	",membrane protein
PD630_RS08080,"Pd630_LPD01689	",adenylate/guanylate cyclase domain-containing protein
PD630_RS08085,"Pd630_LPD01690	",AI-2E family transporter
PD630_RS08090,"Pd630_LPD01691	",ATP-binding protein
PD630_RS08095,"Pd630_LPD01692	",DNA-binding response regulator
PD630_RS08100,"Pd630_LPD01693	",hypothetical protein
PD630_RS08105,"Pd630_LPD01694	",hypothetical protein
PD630_RS08110,"Pd630_LPD01695	",membrane protein
PD630_RS08115,"Pd630_LPD01696	",hypothetical protein
PD630_RS08120,"Pd630_LPD01697	",tRNA (guanine(46)-N(7))-methyltransferase
PD630_RS08125,"Pd630_LPD01698	",hypothetical protein
PD630_RS08130,none,hypothetical protein (pseudogene)
PD630_RS08135,"Pd630_LPD01701	",hypothetical protein
PD630_RS08140,"Pd630_LPD01702	",phosphoenolpyruvate carboxykinase
PD630_RS08145,"Pd630_LPD01703	",hypothetical protein
PD630_RS08150,"Pd630_LPD01704	",cation diffusion facilitator transporter
PD630_RS08155,"Pd630_LPD01705	",aldehyde dehydrogenase
PD630_RS08160,"Pd630_LPD01706	",hypothetical protein
PD630_RS08165,"Pd630_LPD01707	",phosphotransferase family protein
PD630_RS08170,"Pd630_LPD01708	",sugar kinase
PD630_RS08175,"Pd630_LPD01709	",SAM-dependent methyltransferase
PD630_RS08180,"Pd630_LPD01710	",glycosyl transferase
PD630_RS08185,none,hypothetical protein (pseudogene)
PD630_RS08190,"Pd630_LPD01712	",hypothetical protein
PD630_RS08195,"Pd630_LPD01714	",membrane protein
PD630_RS41795,none,acyltransferase (pseudogene)
PD630_RS08200,"Pd630_LPD01716	",membrane protein
PD630_RS41800,"Pd630_LPD01717	",DUF2613 domain-containing protein
PD630_RS08205,"Pd630_LPD01718	",isochorismate synthase
PD630_RS08210,"Pd630_LPD01719	",universal stress protein UspA
PD630_RS08215,"Pd630_LPD01720	",beta-glucosidase
PD630_RS08220,"Pd630_LPD01721	",TetR family transcriptional regulator
PD630_RS08225,"Pd630_LPD01722	",dehydratase
PD630_RS08230,"Pd630_LPD01723	",beta-oxoacyl-ACP reductase
PD630_RS08235,"Pd630_LPD01724	",acetyl-CoA acetyltransferase
PD630_RS08240,"Pd630_LPD01726	",VanW family protein
PD630_RS08245,"Pd630_LPD01727	",hypothetical protein
PD630_RS08250,"Pd630_LPD01728	",acyl-CoA dehydrogenase
PD630_RS08255,"Pd630_LPD01729	",SAM-dependent methyltransferase
PD630_RS08260,"Pd630_LPD01730	",carbohydrate-binding protein
PD630_RS08265,"Pd630_LPD01731	",ketoacyl-ACP synthase III
PD630_RS08270,"Pd630_LPD01732	",hypothetical protein
PD630_RS08275,"Pd630_LPD01733	",HNH endonuclease
PD630_RS08280,"Pd630_LPD01734	",alkaline phosphatase family protein
PD630_RS08285,"Pd630_LPD01735	",cytochrome P450
PD630_RS08290,"Pd630_LPD01736	",TetR family transcriptional regulator
PD630_RS08295,"Pd630_LPD01737	",alpha/beta hydrolase
PD630_RS08300,"Pd630_LPD01738	",glyoxalase
PD630_RS08305,"Pd630_LPD01739	",lactate 2-monooxygenase
PD630_RS08310,"Pd630_LPD01740	",LuxR family transcriptional regulator
PD630_RS08315,"Pd630_LPD01741	",deoxyribonuclease
PD630_RS08320,"Pd630_LPD01742	",esterase
PD630_RS08325,"Pd630_LPD01743	",aminoacyl-tRNA hydrolase
PD630_RS08330,"Pd630_LPD01744	",siderophore-interacting protein
PD630_RS08335,"Pd630_LPD01745	",hypothetical protein
PD630_RS08340,"Pd630_LPD01746	",ATPase
PD630_RS08345,"Pd630_LPD01747	",transcriptional regulator
PD630_RS08350,"Pd630_LPD01748	",TetR family transcriptional regulator
PD630_RS08355,"Pd630_LPD01749	",hypothetical protein
PD630_RS08360,"Pd630_LPD01750	",4-hydroxyacetophenone monooxygenase
PD630_RS08365,"Pd630_LPD01751	",XshC-Cox1 family protein
PD630_RS08370,"Pd630_LPD01752	",carbon monoxide dehydrogenase medium subunit
PD630_RS08375,"Pd630_LPD01753	",(2Fe-2S)-binding protein
PD630_RS08380,"Pd630_LPD01754	",carbon-monoxide dehydrogenase large subunit
PD630_RS08385,"Pd630_LPD01755	",carbon monoxide dehydrogenase
PD630_RS08390,"Pd630_LPD01756	",oxidoreductase
PD630_RS08395,"Pd630_LPD01757	",membrane oxidoreductase
PD630_RS08400,"Pd630_LPD01758	",VWA domain-containing protein
PD630_RS08405,"Pd630_LPD01759	",ATP-dependent DNA ligase
PD630_RS08410,"Pd630_LPD01760	",diguanylate cyclase
PD630_RS08415,"Pd630_LPD01761	",hypothetical protein
PD630_RS08420,"Pd630_LPD01762	",membrane protein
PD630_RS08425,"Pd630_LPD01763	",GntR family transcriptional regulator
PD630_RS08430,"Pd630_LPD01764	",membrane protein
PD630_RS08435,"Pd630_LPD01765	",hypothetical protein
PD630_RS08440,"Pd630_LPD01766	",hydroxymethylglutaryl-CoA lyase
PD630_RS08445,"Pd630_LPD01767	",hydroxymethylglutaryl-CoA reductase%2C degradative
PD630_RS08450,"Pd630_LPD01768	",CdaR family transcriptional regulator
PD630_RS08455,"Pd630_LPD01769	",LacI family transcriptional regulator
PD630_RS08460,"Pd630_LPD01770	",salicylate 1-monooxygenase
PD630_RS08465,"Pd630_LPD01771	",dehydrogenase
PD630_RS08470,"Pd630_LPD01772	",sugar phosphate isomerase
PD630_RS08475,"Pd630_LPD01773	",LysR family transcriptional regulator
PD630_RS08480,"Pd630_LPD01774	",EamA family transporter
PD630_RS08485,"Pd630_LPD01775	",BioY family transporter
PD630_RS08490,"Pd630_LPD01776	",synthetase
PD630_RS08495,"Pd630_LPD01777	",acetyl-CoA acetyltransferase
PD630_RS08500,"Pd630_LPD01778	",cobalt ABC transporter ATP-binding protein
PD630_RS08505,"Pd630_LPD01779	",cobalt ABC transporter
PD630_RS08510,"Pd630_LPD01780	",o-succinylbenzoate--CoA ligase
PD630_RS08515,"Pd630_LPD01781	",hypothetical protein
PD630_RS08520,"Pd630_LPD01782	",ABC transporter substrate-binding protein
PD630_RS08525,"Pd630_LPD01783	",citrate transporter
PD630_RS08530,"Pd630_LPD01784	",LysR family transcriptional regulator
PD630_RS08535,"Pd630_LPD01785	",glyoxalase
PD630_RS08540,"Pd630_LPD01786	",glyoxalase/bleomycin resistance/dioxygenase family protein
PD630_RS08545,"Pd630_LPD01787	",LacI family transcriptional regulator
PD630_RS08550,"Pd630_LPD01788	",dehydrogenase
PD630_RS08555,"Pd630_LPD01789	",hydroxypyruvate isomerase
PD630_RS08560,"Pd630_LPD01790	",hypothetical protein
PD630_RS08565,"Pd630_LPD01791	",two-component sensor histidine kinase
PD630_RS08570,"Pd630_LPD01792	",DNA-binding response regulator
PD630_RS08575,"Pd630_LPD01794	",hypothetical protein
PD630_RS08580,"Pd630_LPD01795	",transcriptional repressor
PD630_RS08585,"Pd630_LPD01797	",catalase-peroxidase
PD630_RS08590,"Pd630_LPD01798	",hypothetical protein
PD630_RS41805,none,hypothetical protein
PD630_RS08595,"Pd630_LPD01800	",hypothetical protein
PD630_RS08600,"Pd630_LPD01801	",diacetyl reductase
PD630_RS08605,"Pd630_LPD01802	",diguanylate cyclase
PD630_RS08610,"Pd630_LPD01803	",lipoyl synthase
PD630_RS08615,"Pd630_LPD01804	",dihydrolipoyl dehydrogenase
PD630_RS08620,"Pd630_LPD01805	",diaminohydroxyphosphoribosylaminopyrimidine deaminase
PD630_RS08625,"Pd630_LPD01806	",pyruvate dehydrogenase subunit beta
PD630_RS08630,"Pd630_LPD01807	",ABC transporter substrate-binding protein
PD630_RS08635,"Pd630_LPD01808	",hypothetical protein
PD630_RS41810,"Pd630_LPD01809	",hypothetical protein
PD630_RS41815,none,hypothetical protein
PD630_RS08645,"Pd630_LPD01813	",DNA-binding response regulator
PD630_RS08650,"Pd630_LPD01814	",dihydrodipicolinate synthase family protein
PD630_RS08655,"Pd630_LPD01816	",amino acid transporter
PD630_RS08660,"Pd630_LPD01817	",hypothetical protein
PD630_RS08665,"Pd630_LPD01818	",gamma-aminobutyraldehyde dehydrogenase
PD630_RS08670,"Pd630_LPD01819	",phenylacetaldehyde dehydrogenase
PD630_RS08675,"Pd630_LPD01820	",hypothetical protein
PD630_RS08680,"Pd630_LPD01821	",pyranose oxidase
PD630_RS08685,"Pd630_LPD01822	",GntR family transcriptional regulator
PD630_RS08690,"Pd630_LPD01823	",oxidoreductase
PD630_RS08695,"Pd630_LPD01826	",barbiturase
PD630_RS08700,"Pd630_LPD01827	",amidase
PD630_RS08705,"Pd630_LPD01828	",CdaR family transcriptional regulator
PD630_RS41820,none,hypothetical protein
PD630_RS08710,"Pd630_LPD01830	",hypothetical protein
PD630_RS08715,"Pd630_LPD01831	",hypothetical protein
PD630_RS08720,"Pd630_LPD01832	",universal stress protein
PD630_RS08725,"Pd630_LPD01833	",MFS transporter
PD630_RS08730,none,methylmalonate-semialdehyde dehydrogenase (CoA acylating) (pseudogene)
PD630_RS08735,none,methylmalonate-semialdehyde dehydrogenase (CoA acylating) (pseudogene)
PD630_RS08740,none,hypothetical protein
PD630_RS08745,"Pd630_LPD01836	",hypothetical protein
PD630_RS08750,"Pd630_LPD01837	",LacI family transcriptional regulator
PD630_RS08755,"Pd630_LPD01838	",ABC transporter ATP-binding protein
PD630_RS08760,none,ribose ABC transporter permease (pseudogene)
PD630_RS08765,"Pd630_LPD01840	",sugar ABC transporter substrate-binding protein
PD630_RS08770,"Pd630_LPD01841	",oxidoreductase
PD630_RS08775,"Pd630_LPD01842	",inosose dehydratase
PD630_RS08780,"Pd630_LPD01843	",dehydrogenase
PD630_RS08785,"Pd630_LPD01844	",short-chain dehydrogenase
PD630_RS08790,"Pd630_LPD01845	",xylose isomerase
PD630_RS08795,"Pd630_LPD01846	",propionyl-CoA carboxylase (pseudogene)
PD630_RS08800,"Pd630_LPD01847	",inositol 2-dehydrogenase
PD630_RS08805,"Pd630_LPD01848	",oxidoreductase
PD630_RS08810,"Pd630_LPD01849	",myo-inositol 2-dehydrogenase
PD630_RS08815,"Pd630_LPD01850	",2%2C4-dihydroxyhept-2-ene-1%2C7-dioic acid aldolase
PD630_RS08820,"Pd630_LPD01851	",3D-(3%2C5/4)-trihydroxycyclohexane-1%2C2-dione acylhydrolase (decyclizing)
PD630_RS08825,"Pd630_LPD01852	",aldehyde dehydrogenase
PD630_RS41825,none,GntR family transcriptional regulator (pseudogene)
PD630_RS08835,none,GntR family transcriptional regulator
PD630_RS08840,"Pd630_LPD01854	",sugar ABC transporter substrate-binding protein
PD630_RS08845,"Pd630_LPD01855	",sugar ABC transporter
PD630_RS08850,"Pd630_LPD01856	",sugar ABC transporter permease
PD630_RS08855,"Pd630_LPD01857	",short-chain dehydrogenase
PD630_RS08860,"Pd630_LPD01858	",fumarylacetoacetate hydrolase
PD630_RS08865,"Pd630_LPD01859	",dihydrofolate reductase
PD630_RS08870,"Pd630_LPD01860	",aldehyde dehydrogenase
PD630_RS08875,"Pd630_LPD01861	",xylulokinase
PD630_RS08880,"Pd630_LPD01862	",phosphoglycolate phosphatase
PD630_RS08885,"Pd630_LPD01863	",ribose 5-phosphate isomerase A
PD630_RS08890,"Pd630_LPD01864	",aldehyde dehydrogenase
PD630_RS08895,none,hypothetical protein
PD630_RS41830,none,site-specific integrase (pseudogene)
PD630_RS41835,"Pd630_LPD01867	",hypothetical protein
PD630_RS08910,none,4-hydroxy-4-methyl-2-oxoglutarate aldolase
PD630_RS08915,"Pd630_LPD01869	",6-phosphogluconate dehydrogenase
PD630_RS08920,"Pd630_LPD01870	",MFS transporter
PD630_RS08925,"Pd630_LPD01871	",hypothetical protein
PD630_RS08930,"Pd630_LPD01873	",membrane protein
PD630_RS08935,"Pd630_LPD01874	",IMP dehydrogenase
PD630_RS08940,"Pd630_LPD01875	",hypothetical protein
PD630_RS08945,"Pd630_LPD01876	",MFS transporter
PD630_RS08950,"Pd630_LPD01877	",transcriptional regulator
PD630_RS08955,"Pd630_LPD01878	",hypothetical protein
PD630_RS08960,"Pd630_LPD01879	",TetR family transcriptional regulator
PD630_RS08965,"Pd630_LPD01880	",MFS transporter
PD630_RS08970,"Pd630_LPD01881	",4-hydroxybenzoyl-CoA thioesterase
PD630_RS08975,"Pd630_LPD01882	",phytanoyl-CoA dioxygenase
PD630_RS08980,"Pd630_LPD01883	",hypothetical protein
PD630_RS08985,"Pd630_LPD01884	",hypothetical protein
PD630_RS08990,"Pd630_LPD01886	",oxidoreductase
PD630_RS41840,none,hypothetical protein (pseudogene)
PD630_RS41845,"Pd630_LPD01887	",site-specific integrase (pseudogene)
PD630_RS09000,"Pd630_LPD01888	",ATPase
PD630_RS09005,"Pd630_LPD01889	",tRNA-Gly
PD630_RS09010,"Pd630_LPD01890	",L-asparaginase
PD630_RS09015,"Pd630_LPD01891	",aspartate ammonia-lyase
PD630_RS09020,"Pd630_LPD01892	",hypothetical protein
PD630_RS09025,"Pd630_LPD01893	",hypothetical protein
PD630_RS09030,"Pd630_LPD01894	",hypothetical protein
PD630_RS09035,"Pd630_LPD01895	",hypothetical protein
PD630_RS09040,"Pd630_LPD01896	",aldolase
PD630_RS09045,"Pd630_LPD01897	",MFS transporter
PD630_RS09050,"Pd630_LPD01898	",GntR family transcriptional regulator
PD630_RS09055,"Pd630_LPD01899	",hydroxyacid oxidoreductase
PD630_RS09060,"Pd630_LPD01900	",oxidoreductase
PD630_RS09065,"Pd630_LPD01901	",hypothetical protein
PD630_RS09070,none,hydrolase
PD630_RS41850,none,PucR family transcriptional regulator
PD630_RS09075,"Pd630_LPD01904	",CoA transferase (pseudogene)
PD630_RS09080,"Pd630_LPD01905	",MFS transporter
PD630_RS09085,"Pd630_LPD01906	",acetyl-CoA acetyltransferase
PD630_RS09090,"Pd630_LPD01907	",hydroxymethylglutaryl-CoA synthase
PD630_RS09095,"Pd630_LPD01908	",TetR family transcriptional regulator
PD630_RS09100,"Pd630_LPD01909	",short-chain dehydrogenase
PD630_RS09105,"Pd630_LPD01910	",acyl dehydratase
PD630_RS09110,"Pd630_LPD01911	",acyl dehydratase
PD630_RS09115,"Pd630_LPD01912	",acyl-CoA dehydrogenase
PD630_RS09120,"Pd630_LPD01913	",fatty-acid--CoA ligase
PD630_RS09125,"Pd630_LPD01914	",acyl-CoA dehydrogenase
PD630_RS09130,none,hypothetical protein
PD630_RS09135,none,hypothetical protein
PD630_RS41855,none,gamma carbonic anhydrase family protein
PD630_RS09140,"Pd630_LPD01918	",pyruvate kinase
PD630_RS09145,"Pd630_LPD01919	",glycerate kinase
PD630_RS09150,"Pd630_LPD01921	",calcium-binding protein
PD630_RS09155,"Pd630_LPD01922	",MFS transporter
PD630_RS41860,"Pd630_LPD01923	",ABC transporter
PD630_RS09165,"Pd630_LPD01924	",ABC transporter ATP-binding protein
PD630_RS09170,"Pd630_LPD01925	",ABC transporter permease
PD630_RS09175,"Pd630_LPD01926	",ABC transporter permease
PD630_RS09180,"Pd630_LPD01927	",transporter
PD630_RS09185,"Pd630_LPD01928	",3-hydroxyacyl-CoA dehydrogenase
PD630_RS09190,"Pd630_LPD01929	",TIGR00299 family protein
PD630_RS09195,"Pd630_LPD01930	",1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylase
PD630_RS09200,"Pd630_LPD01931	",TIGR00268 family protein
PD630_RS09205,"Pd630_LPD01932	",hypothetical protein
PD630_RS09210,"Pd630_LPD01933	",3-keto-5-aminohexanoate cleavage protein
PD630_RS09215,"Pd630_LPD01934	",3-ketoacyl-ACP reductase
PD630_RS09220,"Pd630_LPD01935	",MFS transporter
PD630_RS09225,"Pd630_LPD01936	",LacI family transcriptional regulator
PD630_RS09230,"Pd630_LPD01937	",LacI family transcriptional regulator
PD630_RS09235,"Pd630_LPD01938	",cupin
PD630_RS09240,"Pd630_LPD01939	",alcohol dehydrogenase
PD630_RS09245,"Pd630_LPD01940	",MFS transporter
PD630_RS09250,"Pd630_LPD01941	",3-ketoacyl-ACP reductase
PD630_RS09255,"Pd630_LPD01943	",cupin 2
PD630_RS41865,none,hypothetical protein (pseudogene)
PD630_RS09260,"Pd630_LPD01944	",hypothetical protein
PD630_RS09265,"Pd630_LPD01945	",hypothetical protein
PD630_RS09270,"Pd630_LPD01946	",hypothetical protein
PD630_RS09275,"Pd630_LPD01947	",hypothetical protein
PD630_RS09280,"Pd630_LPD01948	",tRNA-Gly
PD630_RS09285,"Pd630_LPD01949	",tRNA-Gly
PD630_RS09290,"Pd630_LPD01950	",hypothetical protein
PD630_RS09295,"Pd630_LPD01951	",transcriptional regulator
PD630_RS09300,"Pd630_LPD01952	",deoxycytidine triphosphate deaminase
PD630_RS09305,"Pd630_LPD01953	",hypothetical protein
PD630_RS09310,"Pd630_LPD01954	",peptidase S8
PD630_RS09315,"Pd630_LPD01955	",endonuclease
PD630_RS09320,"Pd630_LPD01956	",zinc metalloprotease
PD630_RS09325,"Pd630_LPD01957	",alkyl sulfatase
PD630_RS09330,"Pd630_LPD01958	",hypothetical protein
PD630_RS09335,"Pd630_LPD01959	",membrane protein
PD630_RS09340,"Pd630_LPD01960	",NAD-dependent dehydratase
PD630_RS09345,"Pd630_LPD01961	",hypothetical protein
PD630_RS09350,"Pd630_LPD01962	",glycosyl transferase
PD630_RS09355,"Pd630_LPD01963	",hypothetical protein
PD630_RS09360,"Pd630_LPD01964	",hypothetical protein
PD630_RS09365,"Pd630_LPD01965	",hypothetical protein
PD630_RS09370,"Pd630_LPD01966	",ABC transporter ATP-binding protein
PD630_RS09375,"Pd630_LPD01967	",peptide ABC transporter permease
PD630_RS09380,"Pd630_LPD01968	",peptide ABC transporter permease
PD630_RS09385,"Pd630_LPD01969	",alpha/beta hydrolase
PD630_RS09390,"Pd630_LPD01971	",hypothetical protein
PD630_RS09395,"Pd630_LPD01972	",wax ester/triacylglycerol synthase family O-acyltransferase
PD630_RS09400,"Pd630_LPD01974	",GMP synthase
PD630_RS09405,"Pd630_LPD01975	",glyoxalase
PD630_RS09410,"Pd630_LPD01976	",DNA-directed RNA polymerase sigma-70 factor
PD630_RS09415,"Pd630_LPD01977	",transcriptional regulator
PD630_RS09420,"Pd630_LPD01978	",transcriptional regulator
PD630_RS09425,"Pd630_LPD01979	",hypothetical protein
PD630_RS09430,"Pd630_LPD01980	",glycosyl transferase
PD630_RS09435,"Pd630_LPD01981	",DSBA oxidoreductase
PD630_RS09440,"Pd630_LPD01982	",MarR family transcriptional regulator
PD630_RS09445,"Pd630_LPD01983	",transcriptional regulator
PD630_RS09450,"Pd630_LPD01984	",membrane protein
PD630_RS09455,"Pd630_LPD01985	",sulfurtransferase
PD630_RS09460,"Pd630_LPD01987	",UDP-phosphate galactose phosphotransferase
